Zip,Letter,Crime,Population
45202,C+,7,2226
41001,A+,1,2637
41071,D+,10,15321
45219,F,13,16520
45209,C+,7,10214
45206,F,13,298011
45203,C+,7,3996
45247,B-,6,19068
45245,B+,4,7087
45230,F,13,11430
45220,C+,7,8188
45248,A+,1,11495
41048,A,2,6095
41076,A+,1,6168
41042,D+,10,31735
45223,F,13,7752
45211,F,13,30274
45213,F,13,7480
45231,F,13,298011
41051,A+,1,26317
45242,A+,1,10440
45244,A+,1,7785
45005,D-,12,48527
47001,A,2,3697
45150,B+,4,12641
45030,A+,1,10522
45014,B,5,42640
45140,A+,1,12641
45249,F,13,298011
45238,F,13,298011
41073,A+,1,5879
41017,A+,1,2762
41075,D+,10,15321
45255,A+,1,1236
41015,A+,1,26317
45241,B,5,13782
41030,A+,1,3843
41018,A+,1,8488
41016,F,13,40766
45227,A+,1,5803
45243,A+,1,5803
41094,A+,1,4081
45015,F,13,62259
45102,A+,1,5132
45039,A+,1,32025
45040,A+,1,32025
45036,B-,6,20536
45044,D-,12,48527
45152,A+,1,1490
45056,C+,7,21941
